9:epoch:599 | loss:0.0003 | MAE:0.0111 | RMSE:0.0160 | RE:0.0000
9:epoch:699 | loss:0.0004 | MAE:0.0149 | RMSE:0.0193 | RE:0.0000
9:epoch:799 | loss:0.0001 | MAE:0.0079 | RMSE:0.0115 | RE:0.0016
re mean: 0.0013mae mean: 0.0083rmse mean: 0.0124
0:epoch:99 | loss:0.0008 | MAE:0.0207 | RMSE:0.0284 | RE:0.0000
0:epoch:199 | loss:0.0006 | MAE:0.0189 | RMSE:0.0255 | RE:0.0000
0:epoch:299 | loss:0.0006 | MAE:0.0179 | RMSE:0.0237 | RE:0.0000
0:epoch:399 | loss:0.0005 | MAE:0.0174 | RMSE:0.0229 | RE:0.0000
0:epoch:499 | loss:0.0005 | MAE:0.0170 | RMSE:0.0222 | RE:0.0016
1:epoch:99 | loss:0.0009 | MAE:0.0203 | RMSE:0.0298 | RE:1.0000
1:epoch:199 | loss:0.0007 | MAE:0.0185 | RMSE:0.0264 | RE:0.0016
1:epoch:299 | loss:0.0006 | MAE:0.0176 | RMSE:0.0240 | RE:0.0000
1:epoch:399 | loss:0.0005 | MAE:0.0169 | RMSE:0.0224 | RE:0.0000
1:epoch:499 | loss:0.0004 | MAE:0.0163 | RMSE:0.0211 | RE:0.0000
1:epoch:599 | loss:0.0004 | MAE:0.0158 | RMSE:0.0202 | RE:0.0000
1:epoch:699 | loss:0.0004 | MAE:0.0155 | RMSE:0.0195 | RE:0.0000
1:epoch:799 | loss:0.0004 | MAE:0.0151 | RMSE:0.0190 | RE:0.0000
1:epoch:899 | loss:0.0003 | MAE:0.0148 | RMSE:0.0185 | RE:0.0000
1:epoch:999 | loss:0.0003 | MAE:0.0145 | RMSE:0.0180 | RE:0.0000
2:epoch:99 | loss:0.0009 | MAE:0.0207 | RMSE:0.0301 | RE:1.0000
2:epoch:199 | loss:0.0007 | MAE:0.0185 | RMSE:0.0260 | RE:0.0016
2:epoch:299 | loss:0.0006 | MAE:0.0176 | RMSE:0.0240 | RE:0.0016
2:epoch:399 | loss:0.0005 | MAE:0.0170 | RMSE:0.0227 | RE:0.0016
2:epoch:499 | loss:0.0005 | MAE:0.0166 | RMSE:0.0216 | RE:0.0016
2:epoch:599 | loss:0.0004 | MAE:0.0162 | RMSE:0.0208 | RE:0.0016
2:epoch:699 | loss:0.0004 | MAE:0.0158 | RMSE:0.0201 | RE:0.0000
2:epoch:799 | loss:0.0004 | MAE:0.0155 | RMSE:0.0196 | RE:0.0000
2:epoch:899 | loss:0.0004 | MAE:0.0152 | RMSE:0.0191 | RE:0.0000
2:epoch:999 | loss:0.0003 | MAE:0.0149 | RMSE:0.0186 | RE:0.0000
3:epoch:99 | loss:0.0008 | MAE:0.0198 | RMSE:0.0276 | RE:0.0000
3:epoch:199 | loss:0.0006 | MAE:0.0183 | RMSE:0.0248 | RE:0.0000
3:epoch:299 | loss:0.0005 | MAE:0.0174 | RMSE:0.0233 | RE:0.0000
3:epoch:399 | loss:0.0005 | MAE:0.0169 | RMSE:0.0223 | RE:0.0000
3:epoch:499 | loss:0.0005 | MAE:0.0164 | RMSE:0.0214 | RE:0.0000
3:epoch:599 | loss:0.0004 | MAE:0.0164 | RMSE:0.0210 | RE:0.0000
3:epoch:699 | loss:0.0004 | MAE:0.0157 | RMSE:0.0201 | RE:0.0000
3:epoch:799 | loss:0.0004 | MAE:0.0153 | RMSE:0.0195 | RE:0.0000
3:epoch:899 | loss:0.0004 | MAE:0.0149 | RMSE:0.0190 | RE:0.0000
3:epoch:999 | loss:0.0003 | MAE:0.0146 | RMSE:0.0184 | RE:0.0000
4:epoch:99 | loss:0.0009 | MAE:0.0206 | RMSE:0.0302 | RE:1.0000
4:epoch:199 | loss:0.0007 | MAE:0.0188 | RMSE:0.0272 | RE:1.0000
4:epoch:299 | loss:0.0007 | MAE:0.0180 | RMSE:0.0256 | RE:0.0000
4:epoch:399 | loss:0.0006 | MAE:0.0175 | RMSE:0.0244 | RE:0.0000
4:epoch:499 | loss:0.0005 | MAE:0.0171 | RMSE:0.0234 | RE:0.0000
4:epoch:599 | loss:0.0005 | MAE:0.0168 | RMSE:0.0224 | RE:0.0000
4:epoch:699 | loss:0.0005 | MAE:0.0164 | RMSE:0.0216 | RE:0.0000
4:epoch:799 | loss:0.0004 | MAE:0.0161 | RMSE:0.0209 | RE:0.0000
4:epoch:899 | loss:0.0004 | MAE:0.0158 | RMSE:0.0203 | RE:0.0000
4:epoch:999 | loss:0.0004 | MAE:0.0155 | RMSE:0.0197 | RE:0.0000
5:epoch:99 | loss:0.0008 | MAE:0.0206 | RMSE:0.0286 | RE:0.0016
5:epoch:199 | loss:0.0007 | MAE:0.0191 | RMSE:0.0260 | RE:0.0016
5:epoch:299 | loss:0.0006 | MAE:0.0179 | RMSE:0.0240 | RE:0.0016
5:epoch:399 | loss:0.0005 | MAE:0.0173 | RMSE:0.0230 | RE:0.0016
5:epoch:499 | loss:0.0005 | MAE:0.0169 | RMSE:0.0220 | RE:0.0000
5:epoch:599 | loss:0.0004 | MAE:0.0164 | RMSE:0.0211 | RE:0.0000
5:epoch:699 | loss:0.0004 | MAE:0.0160 | RMSE:0.0204 | RE:0.0000
5:epoch:799 | loss:0.0004 | MAE:0.0157 | RMSE:0.0198 | RE:0.0000
5:epoch:899 | loss:0.0004 | MAE:0.0153 | RMSE:0.0193 | RE:0.0000
5:epoch:999 | loss:0.0004 | MAE:0.0150 | RMSE:0.0188 | RE:0.0000
6:epoch:99 | loss:0.0008 | MAE:0.0201 | RMSE:0.0284 | RE:0.0016
6:epoch:199 | loss:0.0006 | MAE:0.0184 | RMSE:0.0253 | RE:0.0016
6:epoch:299 | loss:0.0006 | MAE:0.0176 | RMSE:0.0235 | RE:0.0000
6:epoch:399 | loss:0.0005 | MAE:0.0170 | RMSE:0.0222 | RE:0.0000
6:epoch:499 | loss:0.0005 | MAE:0.0165 | RMSE:0.0213 | RE:0.0000
6:epoch:599 | loss:0.0004 | MAE:0.0162 | RMSE:0.0206 | RE:0.0000
6:epoch:699 | loss:0.0004 | MAE:0.0158 | RMSE:0.0200 | RE:0.0000
6:epoch:799 | loss:0.0004 | MAE:0.0155 | RMSE:0.0195 | RE:0.0000
6:epoch:899 | loss:0.0004 | MAE:0.0151 | RMSE:0.0190 | RE:0.0000
6:epoch:999 | loss:0.0003 | MAE:0.0148 | RMSE:0.0185 | RE:0.0000
7:epoch:99 | loss:0.0009 | MAE:0.0200 | RMSE:0.0294 | RE:1.0000
7:epoch:199 | loss:0.0007 | MAE:0.0184 | RMSE:0.0266 | RE:0.0016
7:epoch:299 | loss:0.0006 | MAE:0.0177 | RMSE:0.0249 | RE:0.0016
7:epoch:399 | loss:0.0006 | MAE:0.0172 | RMSE:0.0236 | RE:0.0016
7:epoch:499 | loss:0.0005 | MAE:0.0168 | RMSE:0.0226 | RE:0.0000
7:epoch:599 | loss:0.0005 | MAE:0.0165 | RMSE:0.0218 | RE:0.0000
7:epoch:699 | loss:0.0004 | MAE:0.0162 | RMSE:0.0211 | RE:0.0000
7:epoch:799 | loss:0.0004 | MAE:0.0159 | RMSE:0.0204 | RE:0.0000
7:epoch:899 | loss:0.0004 | MAE:0.0156 | RMSE:0.0199 | RE:0.0000
7:epoch:999 | loss:0.0004 | MAE:0.0152 | RMSE:0.0193 | RE:0.0000
8:epoch:99 | loss:0.0009 | MAE:0.0215 | RMSE:0.0307 | RE:1.0000
8:epoch:199 | loss:0.0007 | MAE:0.0193 | RMSE:0.0274 | RE:0.0016
8:epoch:299 | loss:0.0007 | MAE:0.0186 | RMSE:0.0259 | RE:0.0016
8:epoch:399 | loss:0.0006 | MAE:0.0180 | RMSE:0.0246 | RE:0.0016
8:epoch:499 | loss:0.0006 | MAE:0.0175 | RMSE:0.0237 | RE:0.0016
8:epoch:599 | loss:0.0005 | MAE:0.0170 | RMSE:0.0228 | RE:0.0016
